id,username,bot_vector,user_vector
84,bot89,0.1 0.1 0.1 0.1 0.5 0.1 0.3 0.1 0.7 0.1,0.0032952 0.0000134 0.0000165 0.0000146 0.6025640 0.0000116 0.4911933 0.0000162 0.6289952 0.0000134
85,bot90,0.1 0.1 0.1 0.1 0.5 0.1 0.1 0.1 0.9 0.1,0.2725038 0.0000150 0.0000173 0.0000156 0.6395516 0.0000136 0.0000164 0.0000450 0.7188292 0.0000138
86,bot91,0.1 0.1 0.7 0.1 0.1 0.7 0.1 0.1 0.1 0.1,-0.0000795 0.0000351 0.6608050 0.0000380 0.0000360 0.7505566 0.0000380 0.0012655 0.0000376 0.0000316
87,bot92,0.1 0.1 0.1 0.1 0.1 0.3 0.1 0.1 0.1 0.7,0.2845437 0.0000314 0.2728543 0.0000351 0.0000299 0.5265466 0.0000324 0.3324720 0.0000324 0.6758672
88,bot93,0.1 0.1 0.5 0.1 0.1 0.3 0.1 0.1 0.1 0.1,0.3082730 0.0000438 0.5774275 0.3242957 0.0000434 0.5867290 0.0000492 0.3494662 0.0000449 0.0000419
89,bot94,0.1 0.1 0.1 0.1 0.1 0.1 0.9 0.1 0.5 0.1,0.0039944 0.0000210 0.0000238 0.0000221 0.0000211 0.0000201 0.7583509 0.0000234 0.6518343 0.0000211
90,bot95,0.1 0.1 0.1 0.1 0.1 0.5 0.1 0.1 0.1 0.5,0.3089755 0.0000345 0.0000465 0.0000426 0.0000374 0.6362749 0.0000403 0.3461306 0.0000416 0.6163456
91,bot97,0.1 0.1 0.1 0.1 0.9 0.1 0.3 0.1 0.5 0.1,-0.0000145 0.0000068 0.0000117 0.0000081 0.7217243 0.0000068 0.4453056 0.0000163 0.5299217 0.0000068
92,bot98,0.1 0.1 0.1 0.1 0.7 0.1 0.9 0.1 0.5 0.1,0.0000433 0.0000046 0.0000046 0.0000046 0.5984204 0.0000046 0.6206666 0.0000046 0.5066221 0.0000046
93,bot99,0.1 0.1 0.3 0.1 0.1 0.9 0.1 0.1 0.1 0.1,0.2916491 0.0000282 0.4579301 0.0000295 0.0000272 0.8397862 0.0000292 0.0000344 0.0000292 0.0000259
94,bot100,0.1 0.1 0.1 0.1 0.1 0.9 0.1 0.1 0.1 0.5,0.2736835 0.0000147 0.0000176 0.0000154 0.0000149 0.7628306 0.0000155 0.0000186 0.0000163 0.5858215
